Date,Price,Open,High,Low,Vol.,Change %
1/1/2021,0.2372,0.2193,0.25,0.2164,2.98B,8.18%
1/2/2021,0.221,0.2373,0.2381,0.2114,2.48B,-6.84%
1/3/2021,0.2248,0.2209,0.2378,0.2154,2.49B,1.73%
1/4/2021,0.2357,0.225,0.2599,0.2177,3.14B,4.87%
1/5/2021,0.2254,0.2357,0.2418,0.2182,2.46B,-4.37%
1/6/2021,0.2487,0.2255,0.2719,0.2216,3.53B,10.32%
1/7/2021,0.3235,0.2487,0.3688,0.2457,7.31B,30.06%
1/8/2021,0.3208,0.3235,0.3459,0.2857,3.83B,-0.83%
1/9/2021,0.3243,0.3207,0.339,0.3063,2.38B,1.10%
1/10/2021,0.3152,0.3243,0.3666,0.2893,3.31B,-2.81%
1/11/2021,0.2875,0.315,0.3157,0.2558,3.79B,-8.78%
1/12/2021,0.2925,0.2875,0.309,0.2779,2.38B,1.71%
1/13/2021,0.3058,0.2926,0.3099,0.2854,1.25B,4.54%
1/14/2021,0.2966,0.3057,0.3086,0.2836,1.48B,-2.99%
1/15/2021,0.2804,0.2966,0.303,0.2626,1.40B,-5.47%
1/16/2021,0.2795,0.2802,0.2963,0.2754,1.18B,-0.31%
1/17/2021,0.2774,0.2792,0.2854,0.2688,900.72M,-0.75%
1/18/2021,0.2854,0.2774,0.2886,0.2717,904.13M,2.87%
1/19/2021,0.2946,0.2854,0.3279,0.2841,2.07B,3.21%
1/20/2021,0.2953,0.2945,0.3104,0.2804,1.50B,0.26%
1/21/2021,0.2681,0.2953,0.3072,0.2605,1.63B,-9.21%
1/22/2021,0.2726,0.2681,0.2782,0.2416,1.49B,1.68%
1/23/2021,0.2717,0.2725,0.283,0.2657,798.56M,-0.35%
1/24/2021,0.2732,0.2716,0.2778,0.2686,645.08M,0.57%
1/25/2021,0.2676,0.2732,0.2839,0.2671,837.93M,-2.06%
1/26/2021,0.2684,0.2676,0.2708,0.2581,636.91M,0.31%
1/27/2021,0.2507,0.2684,0.2686,0.2444,773.60M,-6.59%
1/28/2021,0.2641,0.2507,0.27,0.2473,765.96M,5.35%
1/29/2021,0.2828,0.2641,0.3166,0.2604,3.05B,7.05%
1/30/2021,0.443,0.2828,0.5088,0.2788,9.31B,56.67%
1/31/2021,0.4949,0.4433,0.5077,0.3901,6.96B,11.71%
2/1/2021,0.3716,0.4949,0.7536,0.3615,13.39B,-24.91%
2/2/2021,0.3723,0.3716,0.4107,0.3413,3.53B,0.18%
2/3/2021,0.3973,0.3723,0.417,0.3723,2.25B,6.70%
2/4/2021,0.4443,0.3973,0.4797,0.3807,3.59B,11.83%
2/5/2021,0.4518,0.4445,0.4708,0.4263,2.41B,1.70%
2/6/2021,0.4427,0.4518,0.4559,0.4269,1.31B,-2.01%
2/7/2021,0.4184,0.4427,0.4503,0.3979,1.75B,-5.49%
2/8/2021,0.4508,0.4184,0.4667,0.4128,1.82B,7.75%
2/9/2021,0.4764,0.4508,0.4894,0.4499,1.99B,5.68%
2/10/2021,0.5047,0.4764,0.5398,0.4534,3.36B,5.94%
2/11/2021,0.5282,0.5047,0.535,0.5015,1.53B,4.65%
2/12/2021,0.6089,0.5282,0.619,0.5196,2.58B,15.29%
2/13/2021,0.633,0.6089,0.6421,0.5477,2.48B,3.96%
2/14/2021,0.5925,0.6335,0.6379,0.5652,1.59B,-6.40%
2/15/2021,0.5494,0.5924,0.6039,0.5112,2.03B,-7.28%
2/16/2021,0.5196,0.5494,0.579,0.4862,1.78B,-5.43%
2/17/2021,0.534,0.5199,0.5559,0.4938,1.41B,2.77%
2/18/2021,0.5306,0.5344,0.5595,0.5214,1.12B,-0.63%
2/19/2021,0.5633,0.5319,0.5791,0.5149,1.60B,6.15%
2/20/2021,0.512,0.5648,0.5811,0.4752,1.90B,-9.10%
2/21/2021,0.5439,0.512,0.5573,0.5052,1.48B,6.24%
2/22/2021,0.5658,0.5439,0.6462,0.5163,5.43B,4.02%
2/23/2021,0.4749,0.5658,0.5706,0.3672,4.22B,-16.07%
2/24/2021,0.4692,0.4761,0.4993,0.4517,1.56B,-1.19%
2/25/2021,0.4356,0.4685,0.4815,0.426,1.08B,-7.17%
2/26/2021,0.4278,0.4359,0.4503,0.413,1.42B,-1.79%
2/27/2021,0.4357,0.4278,0.4579,0.4278,896.32M,1.85%
2/28/2021,0.4153,0.4358,0.4379,0.3934,1.05B,-4.69%
3/1/2021,0.4455,0.4157,0.4526,0.4123,927.26M,7.28%
3/2/2021,0.4358,0.4455,0.4541,0.423,920.49M,-2.18%
3/3/2021,0.4484,0.4358,0.4672,0.4314,917.03M,2.90%
3/4/2021,0.4809,0.4484,0.4938,0.4362,1.83B,7.23%
3/5/2021,0.455,0.4809,0.4828,0.4466,1.17B,-5.38%
3/6/2021,0.463,0.455,0.4702,0.4499,575.65M,1.75%
3/7/2021,0.4653,0.463,0.4686,0.4573,505.07M,0.51%
3/8/2021,0.4736,0.4653,0.4876,0.4553,1.00B,1.77%
3/9/2021,0.485,0.474,0.4866,0.4718,685.95M,2.41%
3/10/2021,0.4616,0.485,0.488,0.456,867.45M,-4.83%
3/11/2021,0.4516,0.4616,0.4641,0.441,752.19M,-2.17%
3/12/2021,0.4394,0.4519,0.4639,0.4251,969.06M,-2.69%
3/13/2021,0.4577,0.4394,0.4651,0.4327,815.65M,4.16%
3/14/2021,0.4393,0.4577,0.4615,0.4393,609.22M,-4.02%
3/15/2021,0.4357,0.4391,0.4481,0.4235,805.42M,-0.83%
3/16/2021,0.4604,0.4357,0.5198,0.4275,2.30B,5.67%
3/17/2021,0.47,0.4604,0.4816,0.4544,913.27M,2.09%
3/18/2021,0.4689,0.47,0.4903,0.4658,837.87M,-0.24%
3/19/2021,0.4667,0.4688,0.4749,0.4598,529.83M,-0.46%
3/20/2021,0.5245,0.4665,0.5497,0.4647,1.85B,12.38%
3/21/2021,0.5167,0.5246,0.5462,0.4958,1.39B,-1.48%
3/22/2021,0.5441,0.5165,0.5995,0.5024,2.71B,5.31%
3/23/2021,0.5504,0.5441,0.5956,0.5383,1.77B,1.16%
3/24/2021,0.4821,0.5504,0.5624,0.4539,1.56B,-12.41%
3/25/2021,0.5109,0.4801,0.5239,0.4603,1.56B,5.96%
3/26/2021,0.563,0.5109,0.5752,0.5105,1.30B,10.22%
3/27/2021,0.5479,0.5634,0.5741,0.5345,738.34M,-2.69%
