obs,year,cpi,exchange,export,import,m2,policy,oil,oilchange,unemployment,exportchange,importchange,m2change
1,2558,90.16,32.7344,94.8,87,16947602,2,49.41,1.64,1.06,-0.9,-3.8,138560
2,2558,90.26,32.5734,95,87.2,17113914,2,47.52,-1.89,0.82,0.2,0.2,166312
3,2558,90.42,32.6314,95.1,86.7,17193104,1.75,59.74,12.22,0.99,0.1,-0.6,79190
4,2558,90.43,32.5095,95.2,87.3,17166475,1.5,60.3,0.56,0.85,0.1,0.7,-26629
5,2558,90.58,33.5519,95.5,88,17190904,1.5,59,-1.3,0.93,0.3,0.8,24429
6,2558,90.68,33.7274,95.5,88.2,17103883,1.5,46.77,-12.23,0.83,0.0,0.2,-87021
7,2558,90.61,34.2996,94.8,87.4,17071604,1.5,48.16,1.39,1,-0.7,-0.9,-32279
8,2558,90.42,35.4176,93.7,85.4,17027719,1.5,45.41,-2.75,0.97,-1.2,-2.3,-43885
9,2558,90.37,36.0195,93,84,17080201,1.5,46.42,1.01,0.78,-0.7,-1.6,52482
10,2558,90.55,35.7177,93.1,83.9,17201009,1.5,41.69,-4.73,0.85,0.1,-0.1,120808
11,2558,90.26,35.7774,92.8,82.6,17354610,1.5,37.11,-4.58,0.9,-0.3,-1.5,153601
12,2558,89.91,36.0128,92.5,80.9,17554630,1.5,33.75,-3.36,0.65,-0.3,-2.1,200020
13,2559,89.67,36.1612,92.1,79.8,17628999,1.5,33.91,0.16,0.91,-0.4,-1.4,74369
14,2559,89.8,35.6037,92.1,79.9,17748543,1.5,38.12,4.21,0.87,0.0,0.1,119544
15,2559,90,35.2376,92.9,81.1,17821574,1.5,46,7.88,1.04,0.9,1.5,73031
16,2559,90.49,35.0916,93.4,82.4,17902958,1.5,48.87,2.87,1.04,0.5,1.6,81384
17,2559,91,35.4475,94.2,83.6,17825307,1.5,48.38,-0.49,1.2,0.9,1.5,-77651
18,2559,91.03,35.3053,94.6,84.4,17838170,1.5,41.38,-7,1.01,0.4,1.0,12863
19,2559,90.71,35.0756,94.6,84.4,17800827,1.5,44.84,3.46,1.01,0.0,0.0,-37343
20,2559,90.68,34.7255,94.3,84.9,17772742,1.5,48.05,3.21,0.93,-0.3,0.6,-28085
21,2559,90.71,34.732,94.4,85,17765549,1.5,46.72,-1.33,0.87,0.1,0.1,-7193
22,2559,90.85,35.05,94.6,85.5,17986304,1.5,49,2.28,1.19,0.2,0.6,220755
23,2559,90.81,35.3196,94.6,84.8,18114619,1.5,53.89,4.89,0.99,0.0,-0.8,128315
24,2559,90.92,35.807,95.1,85.3,18295749,1.5,52.8,-1.09,0.8,0.5,0.6,181130
25,2560,91.07,35.4316,95.5,86.4,18345560,1.5,53.99,1.19,1.18,0.4,1.3,49811
26,2560,91.1,35.0182,96,87,18436681,1.5,50.79,-3.2,1.12,0.5,0.7,91121
27,2560,90.69,34.8955,96,86.8,18414542,1.5,49.2,-1.59,1.29,0.0,-0.2,-22139
28,2560,90.83,34.4512,96.5,87.5,18553810,1.5,48.63,-0.57,1.25,0.5,0.8,139268
29,2560,90.96,34.4535,96.7,87.3,18574127,1.5,46.34,-2.29,1.32,0.2,-0.2,20317
30,2560,90.98,33.9992,96.8,86.9,18617776,1.5,50.19,3.85,1.07,0.1,-0.5,43649
31,2560,90.86,33.7497,97,87.2,18590428,1.5,47.08,-3.11,1.24,0.2,0.3,-27348
32,2560,90.96,33.2624,97.7,88,18609457,1.5,51.34,4.26,1.12,0.7,0.9,19029
33,2560,91.49,33.1503,98.4,88.8,18622205,1.5,54.43,3.09,1.17,0.7,0.9,12748
34,2560,91.63,33.251,98.4,89.3,18749249,1.5,57.24,2.81,1.29,0.0,0.6,127044
