obs,month,month_num,year,CPI_IDX,EX_AVG_USD,EXI_IDX,IMI_IDX,OIL_IDX,FOOD_IDX,SUGAR_IDX,M2,PPI_IDX,GOLD,LAST_BTC,LAST_XRP,publicdebt,govdebt,policy,IDX_SHAREPEICE_TH,MLR,IR,SPX,oilwtiprice,unemployment
1,ม.ค.,1,2558,90.16,32.7344,94.8,87,44.6,101,80.97,"16,947,602",99.7,19407.69,7115.422228,0.803521419,5658059.36,3996768.97,2,182.12,5.07,1.64,"1,994.99",48.24,1.06
2,ก.พ.,2,2558,90.26,32.5734,95,87.2,54.1,98.7,80.94,"17,113,914",100.1,19002.08,8225.408066,0.467830572,5720425.57,4070162.48,2,188.94,5.04,1.64,"2,104.50",49.76,0.82
3,มี.ค.,3,2558,90.42,32.6314,95.1,86.7,52.9,95.7,81.02,"17,193,104",100.6,18278,7944.606688,0.420482069,5730519.23,4094008.59,1.75,180.77,4.99,1.44,"2,067.89",47.6,0.99
4,เม.ย.,4,2558,90.43,32.5095,95.2,87.3,56.5,94.6,81.06,"17,166,475",100.7,18460.53,7799.869491,0.252808528,5775710.53,4137314.87,1.5,182.56,4.98,1.43,"2,085.51",59.63,0.85
5,พ.ค.,5,2558,90.58,33.5519,95.5,88,61.3,95,81.06,"17,190,904",102,19052.78,7755.101182,0.265201835,5687007.62,4063421.6,1.5,177.93,4.88,1.38,"2,107.39",60.3,0.93
6,มิ.ย.,6,2558,90.68,33.7274,95.5,88.2,59.6,94.6,81.23,"17,103,883",101.6,18920,8899.725454,0.279293466,5684490.76,4070193.59,1.5,177.58,4.86,1.38,"2,063.11",59.47,0.83
7,ก.ค.,7,2558,90.61,34.2996,94.8,87.4,54.3,93.8,81.24,"17,071,604",100.3,18473.08,9959.903286,0.382938698,5718472.95,4091378.66,1.5,172.7,4.87,1.43,"2,103.84",47.12,1
8,ส.ค.,8,2558,90.42,35.4176,93.7,85.4,45.5,89.5,81.26,"17,027,719",99.4,18770,8240.605911,0.295205717,5736644.08,4110887.13,1.5,163.93,4.86,1.43,"1,972.18",49.2,0.97
9,ก.ย.,9,2558,90.37,36.0195,93,84,44.4,88.9,81.24,"17,080,201",99.2,19200,8580.780911,0.282392352,5783323.19,4157394.78,1.5,162.46,4.85,1.4,"1,920.03",45.09,0.78
10,ต.ค.,10,2558,90.55,35.7177,93.1,83.9,44.8,90.3,81.26,"17,201,009",99.3,19565.38,11181.16741,0.200658183,5867372.68,4255904.86,1.5,165.31,4.83,1.36,"2,079.36",46.59,0.85
11,พ.ย.,11,2558,90.26,35.7774,92.8,82.6,40.7,87.7,81.26,"17,354,610",98.9,18494,13511.86553,0.166795019,5975766.35,4379011.64,1.5,164.29,4.82,1.33,"2,080.41",41.65,0.9
12,ธ.ค.,12,2558,89.91,36.0128,92.5,80.9,33.4,87,81.42,"17,554,630",98.2,18282,15509.02284,0.150441398,6005043.96,4410296.27,1.5,153.17,4.79,1.34,"2,043.94",37.04,0.65
13,ม.ค.,1,2559,89.67,36.1612,92.1,79.8,33.4,84.9,81.43,"17,628,999",97,18768,13168.66951,0.217574852,5980660.67,4387486.67,1.5,148.78,4.8,1.34,"1,940.24",33.62,0.91
14,ก.พ.,2,2559,89.8,35.6037,92.1,79.9,33.4,86.1,81.57,"17,748,543",97,20177.08,15595.14379,0.228515077,6005787.17,4415351.76,1.5,154.08,4.81,1.34,"1,932.23",33.75,0.87
15,มี.ค.,3,2559,90,35.2376,92.9,81.1,33.4,87.4,81.59,"17,821,574",97.8,20764.81,14631.35533,0.282280812,6013649.86,4431683.97,1.5,163.9,4.78,1.31,"2,059.74",38.34,1.04
16,เม.ย.,4,2559,90.49,35.0916,93.4,82.4,35.7,89.1,82.11,"17,902,958",98.8,20633.33,15641.81478,0.259514856,6049571.82,4474219.15,1.5,165.06,4.64,1.29,"2,065.30",45.92,1.04
17,พ.ค.,5,2559,91,35.4475,94.2,83.6,36.7,90.6,82.11,"17,825,307",100.3,21126,18975.79357,0.237665796,5977353.33,4415020.02,1.5,165.09,4.67,1.29,"2,096.96",49.1,1.2
18,มิ.ย.,6,2559,91.03,35.3053,94.6,84.4,37.8,93.8,82.14,"17,838,170",100,21305.77,23647.59457,0.203766969,5924055.53,4373288.14,1.5,168.88,4.66,1.29,"2,098.86",48.33,1.01
19,ก.ค.,7,2559,90.71,35.0756,94.6,84.4,36.9,93,82.14,"17,800,827",99.6,22226,21732.65304,0.233798409,5959654.1,4403576.82,1.5,175.64,4.64,1.29,"2,173.60",41.6,1.01
20,ส.ค.,8,2559,90.68,34.7255,94.3,84.9,36.7,95.3,82.21,"17,772,742",99.1,22050,19917.0854,0.206823419,5949330.64,4422488.53,1.5,181.4,4.61,1.29,"2,170.95",44.7,0.93
21,ก.ย.,9,2559,90.71,34.732,94.4,85,36.6,96.1,82.22,"17,765,549",98.9,21836.54,21084.63579,0.208088121,5988386.53,4471220.22,1.5,174.88,4.6,1.29,"2,168.27",48.24,0.87
